	yearweek	ACCI	AUTR	INCN	INCU	SUAP	ope_total	inc_grippe	inc_diarrhee	inc_varicelle	has_vacation	temperature_max	temperature_min	temperature_average	total_snow_cm	precipitation_mm
48	201023	120.0	256.0	0.0	133.0	1371.0	1880.0	160	7072	3480	0.0	25.0	10.0	16.71	0.0	10.5
49	201024	85.0	270.0	1.0	134.0	1249.0	1739.0	517	11384	2934	0.0	21.0	8.0	14.43	0.0	7.4
50	201025	70.0	357.0	16.0	165.0	1391.0	1999.0	452	7566	3722	0.0	30.0	8.0	18.57	0.0	0.6
51	201026	88.0	621.0	13.0	185.0	1511.0	2418.0	239	11634	7810	1.0	33.0	13.0	22.43	0.0	1.4
52	201026	88.0	621.0	13.0	185.0	1511.0	2418.0	239	11634	7810	1.0	33.0	13.0	22.43	0.0	1.4
53	201026	88.0	621.0	13.0	185.0	1511.0	2418.0	239	11634	7810	1.0	33.0	13.0	22.43	0.0	1.4
54	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
55	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
56	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
57	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
58	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
59	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
60	201027	100.0	427.0	22.0	144.0	1308.0	2001.0	169	9147	8057	1.0	33.0	10.0	21.57	0.0	1.7
61	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
62	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
63	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
64	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
65	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
66	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
67	201028	82.0	933.0	7.0	164.0	1115.0	2301.0	63	20683	3524	1.0	25.0	9.0	19.0	0.0	11.4
68	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
69	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
70	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
71	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
72	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
73	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
74	201029	67.0	447.0	10.0	117.0	1059.0	1700.0	0	5155	1910	1.0	31.0	11.0	19.29	0.0	2.3
75	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
76	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
77	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
78	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
79	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
80	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
81	201030	71.0	441.0	14.0	119.0	1048.0	1693.0	0	4465	1135	1.0	27.0	10.0	19.0	0.0	1.8
82	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
83	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
84	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
